Company number,Total number of officers,Number of active officers,Number of inactive officers,Number of non-persons officers,Total number of person with significant control,Number of active persons with significant control,Number of ceased persons with significant control,Number of non-persons with significant control,Debt/Equity,Good/Bad
02917294,31,0,31,0,0,0,0,0,0.1,1
OC309313,31,14,17,0,13,11,2,1,0.1,1
08768897,3,3,0,0,3,3,0,0,80.0,1
02103030,31,6,25,0,1,1,0,1,0.1,1
08613865,9,3,6,0,1,1,0,1,0.1,0
09671025,4,2,2,0,2,2,0,0,0.1,1
05960434,9,0,9,0,0,0,0,0,0.1,1
02180191,43,4,39,0,1,1,0,1,0.1,1
10569449,10,4,6,0,2,1,1,2,0.1,1
06922981,13,5,8,0,8,7,1,0,1.6684785592708504,1
SC284516,5,0,5,0,2,1,1,0,0.0,1
03856336,4,0,4,0,0,0,0,0,0.1,1
06032370,4,0,4,0,1,1,0,0,0.1,1
SC329017,18,2,16,0,0,0,0,0,5.722778012822599,0
04153457,44,9,35,0,2,2,0,2,0.1,1
04951578,7,2,5,0,2,2,0,0,0.27848344880677445,1
11842866,2,2,0,0,1,1,0,1,0.1,0
SC367677,6,4,2,0,1,1,0,0,0.1,1
07430135,2,2,0,0,2,2,0,0,55.44583333333333,1
03792886,30,4,26,0,2,1,1,1,0.1,1
00650363,18,0,18,0,1,1,0,1,0.1,1
05045817,8,4,4,0,1,1,0,1,0.0,0
00697555,7,4,3,0,2,2,0,0,0.1,1
07469370,3,0,3,0,2,2,0,0,0.0,1
06636654,4,0,4,0,0,0,0,0,0.1,1
07330058,44,14,30,0,0,0,0,0,0.1,0
06306539,6,1,5,0,2,2,0,0,0.0654474642282618,1
02835362,37,3,34,0,1,1,0,1,0.1,1
05925084,10,0,10,0,0,0,0,0,0.1,0
00736905,13,4,9,0,1,1,0,1,0.1,1
04087865,12,7,5,0,0,0,0,0,0.06366459627329192,1
06678336,7,0,7,0,0,0,0,0,0.1,1
04061715,20,3,17,0,1,1,0,1,0.1,1
10398974,10,4,6,0,0,0,0,0,-1.6449771689497716,0
01812908,68,12,56,0,0,0,0,0,0.1,1
05628657,53,12,41,0,0,0,0,0,0.3358249672632038,1
06050933,5,0,5,0,0,0,0,0,-1.4712595097210481,1
02306732,21,0,21,0,0,0,0,0,0.1,1
02586275,0,0,0,0,0,0,0,0,0.1,1
06781106,24,7,17,0,2,1,1,0,0.1,1
