Company number,Total number of officers,Number of active officers,Number of inactive officers,Number of non-persons officers,Total number of person with significant control,Number of active persons with significant control,Number of ceased persons with significant control,Number of non-persons with significant control,Good/Bad
00315671,33,0,33,0,0,0,0,0,1
00316584,14,7,7,0,0,0,0,0,0
00318460,29,4,25,0,1,1,0,1,1
00319704,37,4,33,0,1,1,0,1,1
00321992,45,4,41,0,1,1,0,1,1
00322305,5,3,2,0,2,2,0,0,0
00323204,147,19,128,0,0,0,0,0,1
00332450,18,7,11,0,1,1,0,0,0
00333313,29,6,23,0,1,1,0,0,1
00334594,9,2,7,0,3,1,2,1,1
00335444,33,4,29,0,1,1,0,1,1
00335659,24,9,15,0,0,0,0,0,1
00337803,16,4,12,0,2,1,1,2,1
00338515,34,0,34,0,1,1,0,1,1
00338786,38,0,38,0,0,0,0,0,1
00339590,39,0,39,0,0,0,0,0,1
00341010,89,14,75,0,0,0,0,0,1
00345218,65,2,63,0,2,2,0,0,0
00347453,40,3,37,0,1,1,0,1,1
00349367,8,4,4,0,1,1,0,0,0
00350164,39,4,35,0,1,1,0,1,0
00351295,27,5,22,0,1,1,0,1,1
00353278,21,7,14,0,0,0,0,0,0
00355318,4,2,2,0,0,0,0,0,1
00357357,10,4,6,0,3,3,0,0,0
00358003,5,5,0,0,0,0,0,0,0
00362847,47,4,43,0,2,2,0,2,1
00367135,32,5,27,0,1,1,0,1,1
00367180,17,5,12,0,1,1,0,1,1
00368248,21,4,17,0,2,2,0,2,1
00371217,39,5,34,0,1,1,0,1,1
00371601,29,5,24,0,1,1,0,1,1
00371602,27,5,22,0,2,2,0,2,1
00371825,6,0,6,0,0,0,0,0,0
00372862,31,1,30,0,0,0,0,0,1
00373894,10,3,7,0,0,0,0,0,1
00373964,23,3,20,0,1,1,0,1,1
00375770,61,10,51,0,1,1,0,1,1
00377015,21,3,18,0,1,1,0,1,1
00377936,34,5,29,0,1,1,0,1,1
06058014,6,1,5,0,5,3,2,2,1
06058030,4,1,3,0,1,1,0,0,1
06058058,4,1,3,0,1,1,0,0,1
06058164,6,2,4,0,1,1,0,1,1
06058205,4,0,4,0,0,0,0,0,1
06058217,5,1,4,0,2,2,0,0,1
06058259,4,0,4,0,0,0,0,0,1
06058499,4,0,4,0,0,0,0,0,1
06058722,4,2,2,0,1,1,0,0,1
06058728,8,2,6,0,0,0,0,0,1
06058751,10,1,9,0,1,1,0,0,1
06058793,6,2,4,0,1,1,0,0,0
06058841,4,1,3,0,1,1,0,0,1
06058902,4,1,3,0,1,1,0,0,1
06058931,7,5,2,0,4,4,0,0,1
06058985,5,0,5,0,1,1,0,0,1
06059203,10,4,6,0,1,0,1,0,0
06059392,4,2,2,0,1,1,0,0,1
06059413,4,2,2,0,1,1,0,0,1
06059717,14,4,10,0,0,0,0,0,1
06060026,25,5,20,0,1,1,0,1,1
06060432,5,1,4,0,0,0,0,0,1
06060931,5,3,2,0,1,1,0,0,1
06061140,6,4,2,0,2,2,0,0,1
06061537,10,3,7,0,4,3,1,1,0
06061984,21,8,13,0,0,0,0,0,1
06062118,4,2,2,0,1,1,0,0,1
06062171,5,0,5,0,0,0,0,0,1
06062201,5,3,2,0,2,2,0,0,1
06062308,7,1,6,0,3,1,2,2,1
06062472,9,4,5,0,1,1,0,0,1
06062760,5,3,2,0,2,2,0,0,1
06063380,4,2,2,0,1,1,0,0,1
06064113,4,1,3,0,1,1,0,0,1
06064129,5,2,3,0,0,0,0,0,1
06064138,7,2,5,1,1,1,0,0,1
06064158,7,5,2,0,1,1,0,0,1
06064375,23,4,19,0,2,2,0,2,1
06064666,6,2,4,0,1,1,0,0,1
06064905,6,4,2,0,3,3,0,0,1
06065000,7,0,7,0,0,0,0,0,1
06065064,6,0,6,0,0,0,0,0,1
06065089,5,0,5,0,0,0,0,0,1
06065109,4,2,2,0,1,1,0,0,1
06065280,5,3,2,0,0,0,0,0,1
06065376,4,2,2,0,1,1,0,0,1
06065393,5,3,2,0,1,1,0,0,1
06066288,6,1,5,0,1,1,0,0,1
06066418,7,3,4,0,1,1,0,0,1
06066720,4,2,2,0,2,2,0,0,1
06066725,4,2,2,0,1,1,0,0,1
06067288,4,1,3,0,1,1,0,0,1
06067357,15,0,15,0,0,0,0,0,1
06067375,15,0,15,0,0,0,0,0,1
06067421,5,0,5,0,0,0,0,0,1
06067422,10,4,6,0,1,1,0,0,1
06067579,7,3,4,0,1,1,0,0,1
06067905,10,4,6,0,1,1,0,1,1
06068171,8,1,7,0,1,1,0,0,1
06068620,8,1,7,0,1,1,0,0,1
06068895,4,2,2,0,1,1,0,0,1
06068931,6,2,4,0,1,1,0,0,1
06068952,2,1,1,0,0,0,0,0,1
06069174,4,2,2,0,2,2,0,0,1
06069869,26,0,26,0,1,1,0,1,1
06069882,4,2,2,0,1,1,0,0,1
06069892,4,0,4,0,1,1,0,0,1
06070000,23,5,18,0,2,2,0,2,1
06070096,4,3,1,0,1,1,0,1,1
06070437,4,1,3,0,3,3,0,0,1
06070478,6,2,4,0,1,1,0,0,1
06070488,5,3,2,0,2,2,0,0,1
06070500,4,1,3,0,1,1,0,0,1
06070514,8,3,5,0,1,1,0,1,1
06070625,5,2,3,0,0,0,0,0,1
06070846,4,1,3,0,2,2,0,0,1
06071227,4,0,4,0,0,0,0,0,1
06071685,8,4,4,0,0,0,0,0,1
06071981,4,2,2,0,1,1,0,0,1
06072022,4,2,2,0,1,1,0,0,1
06072025,11,5,6,0,1,1,0,0,1
06072068,6,0,6,0,0,0,0,0,1
06072070,5,3,2,0,0,0,0,0,1
06072298,4,2,2,0,1,1,0,0,1
06072317,5,3,2,0,2,2,0,0,1
06072918,9,1,8,0,1,1,0,1,1
06072929,5,0,5,0,0,0,0,0,1
06072971,5,0,5,0,0,0,0,0,1
06073134,6,0,6,0,3,3,0,0,1
06073690,29,4,25,0,2,2,0,2,1
06073803,6,0,6,0,0,0,0,0,1
06073955,5,2,3,0,1,1,0,0,1
06073962,26,5,21,0,0,0,0,0,1
06073971,6,1,5,0,1,1,0,0,1
06074479,8,5,3,0,0,0,0,0,1
06074684,3,1,2,0,1,1,0,0,0
06075780,6,2,4,0,1,1,0,0,1
06076014,4,2,2,0,2,2,0,0,1
06076177,7,3,4,0,2,2,0,0,1
06076187,5,0,5,0,0,0,0,0,1
06076188,5,3,2,0,2,2,0,0,1
06076220,7,2,5,0,1,1,0,1,1
06076697,4,2,2,0,1,1,0,0,1
06076701,5,3,2,0,1,1,0,0,1
06076995,12,3,9,0,0,0,0,0,1
06076999,9,3,6,0,1,1,0,0,1
06077003,12,3,9,0,1,1,0,1,1
06077024,6,2,4,0,2,2,0,0,1
06077217,4,2,2,0,1,1,0,0,1
06077223,18,4,14,0,1,1,0,1,1
06077377,4,1,3,0,1,1,0,0,1
06077784,4,2,2,0,3,3,0,0,1
06077852,8,4,4,0,3,3,0,0,0
06077922,24,12,12,0,1,1,0,0,1
06078132,7,5,2,0,1,1,0,0,1
06078143,6,1,5,0,1,1,0,0,1
06078196,2,0,2,0,0,0,0,0,1
06078286,5,3,2,0,1,1,0,1,1
06078444,6,3,3,0,2,2,0,0,1
06078449,5,3,2,0,1,1,0,0,1
06078455,5,3,2,0,1,1,0,0,1
06078832,6,2,4,0,1,1,0,0,1
06079021,4,2,2,0,2,2,0,0,1
06079459,6,2,4,0,2,2,0,0,1
06079523,4,1,3,0,2,1,1,0,1
06079837,5,0,5,0,2,2,0,0,1
06079867,4,0,4,0,0,0,0,0,1
06080056,5,3,2,0,2,2,0,0,1
06080199,8,5,3,0,1,1,0,1,1
06080277,12,2,10,0,0,0,0,0,1
06080283,6,3,3,0,2,2,0,0,1
06080353,5,3,2,0,2,2,0,0,1
06080432,6,0,6,0,0,0,0,0,1
06080856,4,2,2,0,1,1,0,0,1
06080904,5,3,2,0,1,1,0,0,1
06080921,5,3,2,0,2,2,0,0,1
06081010,4,2,2,0,1,1,0,0,1
06081055,10,5,5,0,2,2,0,0,1
06081107,12,4,8,0,5,3,2,0,1
06081150,4,3,1,0,1,1,0,1,1
06082363,2,2,0,0,1,1,0,0,0
06082865,16,3,13,0,3,3,0,0,1
06083408,20,10,10,0,1,1,0,0,0
06084249,4,1,3,0,1,1,0,0,0
06085861,5,3,2,0,2,2,0,0,0
06090404,2,2,0,0,1,1,0,0,0
06090608,7,6,1,0,0,0,0,0,0
06092971,12,5,7,0,0,0,0,0,0
06093157,4,1,3,0,1,1,0,0,1
06098580,3,1,2,0,3,2,1,0,0
06099690,3,0,3,0,0,0,0,0,0
06105016,5,2,3,0,1,1,0,0,0
06106457,5,3,2,0,2,2,0,0,0
06109435,8,4,4,0,1,1,0,0,0
06113654,12,2,10,0,0,0,0,0,0
06116121,15,4,11,0,2,1,1,1,1
06116357,21,3,18,0,2,2,0,2,1
06117418,7,3,4,0,4,1,3,1,0
06119036,48,10,38,0,1,1,0,1,1
06124828,40,17,23,0,0,0,0,0,1
06124960,14,3,11,0,2,2,0,2,1
06124979,4,3,1,0,1,1,0,0,0
06125726,8,0,8,0,0,0,0,0,0
06125830,7,0,7,0,1,1,0,0,0
06126480,8,1,7,0,2,2,0,0,0
06128149,3,3,0,0,2,2,0,0,0
06129852,13,3,10,0,1,1,0,1,0
06130476,4,0,4,0,0,0,0,0,1
06131579,9,2,7,0,1,1,0,1,1
06131647,2,2,0,0,1,1,0,0,0
06133397,13,2,11,0,2,2,0,0,1
06134948,17,2,15,0,0,0,0,0,0
06135492,2,2,0,0,1,1,0,0,0
06135683,3,3,0,0,2,2,0,0,1
06135971,10,5,5,0,5,0,5,0,1
06137039,6,3,3,0,3,3,0,0,1
06139077,18,6,12,0,1,1,0,1,1
06140568,9,3,6,0,1,1,0,1,1
06141518,3,3,0,0,2,2,0,0,1
06141603,23,8,15,0,0,0,0,0,1
06142617,3,3,0,0,1,1,0,0,0
06143426,2,2,0,0,1,1,0,0,1
06144857,6,4,2,0,0,0,0,0,1
06145342,8,0,8,0,1,1,0,0,1
06147104,8,3,5,0,1,1,0,1,1
06149589,4,2,2,0,2,2,0,0,0
06150438,5,0,5,0,0,0,0,0,1
06154034,7,3,4,0,1,1,0,1,1
06155726,4,2,2,0,1,1,0,0,1
06156661,18,3,15,1,1,1,0,1,1
06158076,11,6,5,0,0,0,0,0,1
06159017,18,3,15,1,1,1,0,1,1
06160934,5,0,5,0,2,2,0,0,0
06162462,12,0,12,0,1,1,0,1,1
06163147,8,3,5,0,1,1,0,1,1
06163846,5,2,3,0,4,1,3,1,0
06165859,19,7,12,0,1,1,0,1,1
06166092,15,4,11,0,0,0,0,0,0
06166349,5,0,5,0,0,0,0,0,1
06166544,3,0,3,0,0,0,0,0,1
06166872,7,4,3,0,1,1,0,0,1
06166899,5,3,2,0,3,3,0,0,1
06167580,5,3,2,0,1,1,0,0,1
06167585,3,0,3,0,1,1,0,0,1
06167839,4,2,2,0,1,1,0,0,0
